Word                     Count
snatch                   2  
sneeze                   1  
sneezed                  1  
sneezing                 4  
snorting                 1  
snout                    1  
so                       130
sobbed                   1  
sobbing                  2  
sobs                     2  
soft                     1  
softly                   1  
soldier                  1  
soldiers                 8  
solemn                   3  
solemnly                 2  
solicit                  2  
solicitation             1  
solid                    1  
some                     53 
somebody                 4  
somehow                  1  
somersault               1  
something                14 
sometimes                3  
somewhere                1  
song                     1  
soon                     24 
sooner                   2  
soothing                 1  
sorrowful                2  
sorry                    1  
sort                     14 
sorts                    3  
sound                    3  
sounded                  5  
sounds                   3  
soup                     5  
speak                    8  
speaking                 2  
special                  1  
specific                 1  
specified                2  
spectacles               1  
speech                   1  
speed                    1  
spell                    1  
spite                    1  
splashed                 1  
splashing                2  
splendidly               1  
spoke                    4  
sprawling                1  
spread                   3  
spreading                1  
spreads                  1  
squeaking                2  
squeeze                  1  
squeezed                 1  
stalk                    1  
stamping                 2  
stand                    4  
standing                 1  
staring                  3  
start                    1  
started                  2  
startled                 2  
state                    6  
statements               1  
states                   8  
status                   4  
stay                     4  
stays                    1  
steady                   1  
sticks                   1  
still                    14 
stingy                   1  
stir                     1  
stirring                 2  
stockings                1  
stole                    5  
stood                    8  
stool                    1  
stoop                    1  
stop                     4  
stopped                  3  
stopping                 1  
stories                  1  
story                    5  
straight                 2  
straightened             1  
straightening            1  
strange                  4  
street                   1  
stretched                2  
stretching               1  
strict                   1  
strove                   1  
struck                   2  
stuff                    1  
stupid                   1  
stupidest                1  
stupidly                 1  
subdued                  1  
subject                  4  
subjects                 1  
submitted                1  
subscribe                1  
succeeded                3  
such                     50 
sudden                   6  
suddenly                 10 
sugar                    1  
suit                     3  
sulkily                  2  
sulky                    2  
summer                   2  
supple                   1  
support                  3  
suppose                  8  
suppress                 1  
suppressed               3  
sure                     17 
surprise                 1  
surprised                6  
survive                  1  
swallow                  1  
swallowed                1  
swallowing               1  
swam                     5  
swamp                    1  
swim                     2  
swimming                 2  
synonymous               1  
table                    8  
tail                     3  
tails                    3  
take                     19 
taken                    4  
takes                    3  
taking                   5  
tale                     6  
talk                     10 
talking                  12 
taller                   1  
tarts                    3  
taste                    4  
tasted                   2  
taught                   4  
tavistock                1  
tax                      6  
tea                      5  
teaching                 1  
teacup                   3  
teacups                  2  
team                     1  
tears                    6  
teaspoon                 1  
telescope                1  
tell                     29 
telling                  2  
tells                    2  
temper                   1  
ten                      5  
terms                    22 
terribly                 1  
tertia                   1  
text                     4  
than                     26 
thank                    1  
thanked                  1  
that                     236
thatched                 1  
the                      1810
their                    50 
them                     52 
themselves               2  
then                     59 
there                    66 
therefore                1  
these                    16 
they                     122
thick                    1  
thing                    35 
things                   21 
think                    36 
thinking                 10 
thirty                   1  
this                     150
thistle                  1  
thoroughly               2  
those                    11 
though                   7  
thought                  62 
thoughtfully             1  
thoughts                 2  
thousand                 2  
three                    24 
threw                    2  
throne                   1  
through                  16 
throughout               1  
throw                    3  
throwing                 2  
thrown                   1  
thus                     2  
tide                     1  
tidy                     1  
tie                      1  
tied                     2  
tight                    1  
till                     20 
time                     46 
times                    6  
timid                    3  
timidly                  2  
tiniest                  1  
tinkling                 1  
tiny                     4  
tipped                   1  
tired                    8  
tittered                 1  
to                       803
toes                     1  
together                 2  
told                     6  
tone                     9  
tones                    2  
tongue                   1  
tongues                  1  
too                      23 
took                     23 
top                      7  
tops                     1  
tortoise                 1  
toss                     1  
tossing                  3  
touch                    1  
tougher                  1  
towards                  1  
toys                     1  
trademark                4  
trampled                 1  
transcribe               1  
transcription            1  
treacle                  2  
treading                 2  
treated                  1  
treatment                1  
tree                     3  
trees                    5  
trembled                 2  
trembling                6  
tremulous                1  
trial                    4  
trickling                1  
tricks                   1  
tried                    18 
trims                    1  
trot                     1  
trotting                 2  
trouble                  4  
trumpet                  1  
trusts                   1  
truthful                 1  
try                      11 
trying                   11 
tucked                   3  
tumbled                  1  
tumbling                 2  
tunnel                   1  
turn                     7  
turned                   18 
turning                  12 
turns                    1  
turtle                   36 
turtles                  1  
twelve                   2  
twentieth                1  
twenty                   1  
twice                    1  
twined                   1  
twinkled                 1  
twinkling                3  
twist                    2  
two                      23 
types                    2  
uglify                   1  
ugly                     1  
unable                   1  
uncomfortable            1  
uncomfortably            1  
uncommon                 1  
uncommonly               1  
uncorked                 1  
under                    22 
underneath               1  
understand               4  
understood               1  
undertone                1  
undo                     1  
undoing                  1  
uneasily                 1  
unenforceability         1  
unfolded                 2  
unfortunate              3  
unhappy                  1  
uniform                  1  
united                   10 
university               1  
unjust                   1  
unless                   5  
unlink                   1  
unlocking                1  
unpleasant               2  
unrolled                 2  
unsolicited              1  
until                    4  
untwist                  1  
unusually                3  
unwillingly              1  
up                       86 
updated                  1  
upon                     30 
upright                  1  
upset                    2  
upsetting                1  
us                       10 
use                      28 
used                     15 
user                     2  
using                    6  
usual                    1  
usually                  2  
usurpation               1  
ut                       1  
v                        1  
vague                    1  
vain                     1  
van                      1  
vanilla                  2  
vanished                 3  
vanishing                1  
variety                  1  
various                  2  
velvet                   1  
venture                  3  
ventured                 5  
verse                    1  
verses                   2  
version                  1  
very                     129
vi                       1  
vii                      1  
viii                     1  
vinegar                  1  
violates                 1  
violence                 1  
violent                  2  
violently                4  
visit                    2  
voice                    19 
voices                   3  
void                     1  
volunteer                1  
volunteers               6  
vote                     1  
vulgar                   1  
wag                      1  
wags                     1  
waited                   9  
waiting                  8  
walk                     4  
walked                   10 
walking                  5  
walks                    1  
walrus                   1  
wander                   1  
wandered                 2  
wandering                1  
wanderings               1  
want                     8  
wanted                   4  
wants                    2  
warranties               3  
warranty                 1  
was                      332
wash                     2  
washing                  1  
wasting                  2  
watch                    7  
watched                  2  
watching                 3  
water                    2  
waters                   1  
waving                   5  
way                      40 
ways                     1  
we                       27 
weak                     3  
weary                    1  
web                      6  
week                     2  
welcomes                 1  
well                     28 
wells                    1  
went                     77 
wept                     1  
were                     82 
wet                      1  
what                     95 
whatever                 1  
when                     74 
whenever                 1  
where                    14 
whereupon                1  
wherever                 2  
whether                  11 
which                    48 
while                    23 
whilst                   1  
whisper                  1  
whispered                4  
whispers                 1  
whistle                  1  
white                    27 
whiting                  3  
who                      60 
whole                    15 
whom                     2  
whose                    2  
why                      8  
wide                     2  
widest                   2  
wild                     3  
wildly                   2  
will                     37 
william                  3  
wink                     2  
winter                   1  
wise                     2  
wish                     22 
with                     231
within                   5  
without                  32 
witness                  4  
woke                     1  
wonder                   15 
wondered                 1  
wonderful                2  
wondering                8  
wonderland               4  
wonders                  1  
wood                     2  
wooden                   1  
word                     10 
words                    14 
wore                     1  
work                     40 
works                    22 
world                    6  
worry                    1  
worse                    2  
worth                    4  
would                    73 
wrapping                 1  
wreath                   1  
wretched                 2  
wriggling                1  
wrinkle                  1  
write                    5  
writing                  7  
written                  9  
wrong                    2  
wrote                    3  
x                        1  
xi                       1  
xii                      1  
yards                    1  
yawned                   2  
yawning                  1  
year                     2  
years                    1  
yelled                   1  
yelp                     1  
yer                      5  
yesterday                2  
yet                      10 
you                      330
young                    5  
your                     63 
yours                    1  
yourself                 6  
zealand                  1  
